"filename", "language", "XML", "Dart", "JSON", "YAML", "Markdown", "Gradle", "C++", "Swift", "Properties", "comment", "blank", "total"
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/Debug-iphonesimulator/Runner.app/Frameworks/Flutter.framework/Headers/FlutterDartProject.h", "C++", 0, 0, 0, 0, 0, 0, 23, 0, 0, 65, 16, 104
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/Debug-iphonesimulator/Runner.app/Frameworks/Flutter.framework/Headers/FlutterEngine.h", "C++", 0, 0, 0, 0, 0, 0, 59, 0, 0, 362, 40, 461
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/Debug-iphonesimulator/Runner.app/Frameworks/Flutter.framework/Headers/FlutterEngineGroup.h", "C++", 0, 0, 0, 0, 0, 0, 23, 0, 0, 73, 15, 111
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/Debug-iphonesimulator/Runner.app/Frameworks/Flutter.framework/Headers/FlutterHeadlessDartRunner.h", "C++", 0, 0, 0, 0, 0, 0, 22, 0, 0, 64, 12, 98
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/Debug-iphonesimulator/Runner.app/Frameworks/Flutter.framework/Headers/FlutterMacros.h", "C++", 0, 0, 0, 0, 0, 0, 21, 0, 0, 16, 12, 49
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/Debug-iphonesimulator/Runner.app/Frameworks/Flutter.framework/Headers/FlutterPlatformViews.h", "C++", 0, 0, 0, 0, 0, 0, 19, 0, 0, 28, 10, 57
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/Debug-iphonesimulator/Runner.app/Frameworks/Flutter.framework/Headers/FlutterPlugin.h", "C++", 0, 0, 0, 0, 0, 0, 110, 0, 0, 294, 43, 447
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/Debug-iphonesimulator/Runner.app/Frameworks/Flutter.framework/Headers/FlutterPluginAppLifeCycleDelegate.h", "C++", 0, 0, 0, 0, 0, 0, 51, 0, 0, 76, 22, 149
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/Debug-iphonesimulator/Runner.app/Frameworks/Flutter.framework/Headers/FlutterTexture.h", "C++", 0, 0, 0, 0, 0, 0, 20, 0, 0, 33, 10, 63
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/Debug-iphonesimulator/Runner.app/Frameworks/Flutter.framework/Headers/FlutterViewController.h", "C++", 0, 0, 0, 0, 0, 0, 51, 0, 0, 179, 30, 260
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/Debug-iphonesimulator/Runner.swiftmodule/x86_64-apple-ios-simulator.abi.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/iphonesimulator/Runner.app/Frameworks/App.framework/flutter_assets/AssetManifest.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/iphonesimulator/Runner.app/Frameworks/App.framework/flutter_assets/FontManifest.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/iphonesimulator/Runner.app/Frameworks/App.framework/flutter_assets/assets/icons/eye_closed.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/iphonesimulator/Runner.app/Frameworks/App.framework/flutter_assets/assets/icons/menu.svg", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/iphonesimulator/Runner.app/Frameworks/App.framework/flutter_assets/assets/icons/more_horiz.svg", "XML", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/iphonesimulator/Runner.app/Frameworks/App.framework/flutter_assets/assets/icons/search.svg", "XML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
